"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Estuvimos presentes en un desayuno con #ElBronco donde hablo de sus propuestas, nos dio consejos para no caer en la… https://t.co/mnnFOHoxCD",FALSE,2,NA,2018-06-06 13:00:30,TRUE,NA,"1004347297558335488",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","IrisGomezMex",0,FALSE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 12:21:25,FALSE,NA,"1004337463345729536",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gepruiz49",42,TRUE,FALSE,NA,NA
"#Elecciones2018 | #ElBronco, candidato presidencial independiente, delineo su propuesta de militarizar los bachille… https://t.co/1tVLeOHRn1",FALSE,0,NA,2018-06-06 12:20:30,TRUE,NA,"1004337232931680256",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CiudadTV212",0,FALSE,FALSE,NA,NA
"RT @Entera2mx: Van 6 mil 300 preguntas ciudadanas para los candidatos a la Presidencia de México #DebateINE #AMLO #Meade #Anaya #ElBronco @…",FALSE,0,NA,2018-06-06 12:18:55,FALSE,NA,"1004336835450064896",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Entera2mx",3,TRUE,FALSE,NA,NA
"RT @CentralBronca: ¿Qué le espera a @JaimeRdzNL en los próximos días? 
Ahí estaremos :D
#ElBronco  #EleccionesMexico #ProhibidoRendirse htt…",FALSE,0,NA,2018-06-06 12:06:23,FALSE,NA,"1004333680922329089",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Yazyazmtz1",3,TRUE,FALSE,NA,NA
"RT @CentralBronca: Con los partidos políticos va a estar cabrón.
Con El Bronco nos va a ir cabrón <U+0001F434><U+26A1><U+FE0F><U+0001F1F2><U+0001F1FD>
#ElBronco  #ProhibidoRendirse  #Ele…",FALSE,0,NA,2018-06-06 12:03:16,FALSE,NA,"1004332894079410176",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Yazyazmtz1",4,TRUE,FALSE,NA,NA
"RT @CentralBronca: ¡México Independiente para ti y toda la gente!
Sigamos sumando para que el 1 de julio llevemos a @JaimeRdzNL a la presid…",FALSE,0,NA,2018-06-06 12:02:37,FALSE,NA,"1004332732304875520",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Yazyazmtz1",4,TRUE,FALSE,NA,NA
"RT @CentralBronca: La fuerza independiente va con todo en estas elecciones. Conoce a los candidatos y candidatas a diferentes puestos de tu…",FALSE,0,NA,2018-06-06 12:02:24,FALSE,NA,"1004332679070928896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Yazyazmtz1",4,TRUE,FALSE,NA,NA
"RT @ADNPolitico: Lástima, #AMLO, #Anaya y #ElBronco, Bety ya lo pensó bien y eligió a Pepe #Meade… en el desenlace de la miniserie de spots…",FALSE,0,NA,2018-06-06 11:31:07,FALSE,NA,"1004324804839854082",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AhdezMt",4,TRUE,FALSE,NA,NA
"RT @JaimeRdzNL: Yo no soy cualquier candidato, yo soy #ElBronco y lucharé en contra de un sistema corrupto para que los mexicanos estén fel…",FALSE,0,NA,2018-06-06 11:22:33,FALSE,NA,"1004322648174858240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edgarcorrrea",42,TRUE,FALSE,NA,NA
